Time (s),Take sample,Powertrain 1 ESC throttle - target (?s)
43.4,,1405.8809999999999
43.5,,1405.8809999999999
43.6,,1402.941
43.7,,1402.941
43.8,,1402.941
43.9,,1400.001
44,,1397.058
44.1,,1394.118
44.2,,1394.118
44.3,,1391.175
44.4,,1388.2350000000001
44.5,,1388.2350000000001
44.6,,1385.295
44.7,,1385.295
44.8,,1385.295
44.9,,1385.295
45,,1385.295
45.1,,1385.295
45.2,,1385.295
45.3,,1382.352
45.4,,1382.352
45.5,,1382.352
45.6,,1385.295
45.7,,1385.295
45.8,,1385.295
45.9,,1382.352
46,,1376.472
46.1,,1376.472
46.2,,1376.472
46.3,,1376.472
46.4,,1373.529
46.5,,1373.529
46.6,,1373.529
46.7,,1373.529
46.8,,1373.529
46.9,,1373.529
47,,1373.529
47.1,,1373.529
47.2,,1373.529
47.3,,1370.589
47.4,,1370.589
47.5,,1370.589
47.6,,1370.589
47.7,,1370.589
47.8,,1370.589
47.9,,1367.646
48,,1364.706
48.1,,1361.766
48.2,,1358.823
48.3,,1355.883
48.4,,1355.883
48.5,,1355.883
48.6,,1355.883
48.7,,1355.883
48.8,,1355.883
48.9,,1355.883
49,,1355.883
49.1,,1355.883
49.2,,1355.883
49.3,,1355.883
49.4,,1352.94
49.5,,1352.94
49.6,,1352.94
49.7,,1350
49.8,,1350
49.9,,1350
50,,1350
50.1,,1350
50.2,,1347.06
50.3,,1344.117
50.4,,1341.177
50.5,,1338.234
50.6,,1338.234
50.7,,1338.234
50.8,,1338.234
50.9,,1338.234
51,,1338.234
51.1,,1341.177
51.2,,1347.06
51.3,,1344.117
51.4,,1335.2939999999999
51.5,,1329.411
51.6,,1323.528
51.7,,1317.648
51.8,,1317.648
51.9,,1317.648
52,,1317.648
52.1,,1317.648
52.2,,1320.588
52.3,,1320.588
52.4,,1323.528
52.5,,1323.528
52.6,,1323.528
52.7,,1320.588
52.8,,1320.588
52.9,,1320.588
53,,1317.648
53.1,,1317.648
53.2,,1320.588
53.3,,1326.471
53.4,,1326.471
53.5,,1326.471
53.6,,1326.471
53.7,,1323.528
53.8,,1323.528
53.9,,1323.528
54,,1323.528
54.1,,1323.528
54.2,,1323.528
54.3,,1323.528
54.4,,1323.528
54.5,,1326.471
54.6,,1326.471
54.7,,1326.471
54.8,,1326.471
54.9,,1326.471
55,,1323.528
55.1,,1323.528
55.2,,1323.528
55.3,,1329.411
55.4,,1332.354
55.5,,1332.354
55.6,,1332.354
55.7,,1332.354
55.8,,1332.354
55.9,,1332.354
56,,1332.354
56.1,,1332.354
56.2,,1332.354
56.3,,1335.2939999999999
56.4,,1335.2939999999999
56.5,,1338.234
56.6,,1338.234
56.7,,1341.177
56.8,,1344.117
56.9,,1347.06
57,,1347.06
57.1,,1347.06
57.2,,1344.117
57.3,,1344.117
57.4,,1344.117
57.5,,1344.117
57.6,,1344.117
57.7,,1347.06
57.8,,1350
57.9,,1352.94
58,,1355.883
58.1,,1355.883
58.2,,1358.823
58.3,,1358.823
58.4,,1358.823
58.5,,1358.823
58.6,,1358.823
58.7,,1361.766
58.8,,1361.766
58.9,,1361.766
59,,1358.823
59.1,,1355.883
59.2,,1355.883
59.3,,1355.883
59.4,,1355.883
59.5,,1355.883
59.6,,1352.94
59.7,,1352.94
59.8,,1352.94
59.9,,1352.94
60,,1355.883
60.1,,1358.823
60.2,,1358.823
60.3,,1358.823
60.4,,1358.823
60.5,,1358.823
60.6,,1358.823
60.7,,1358.823
60.8,,1358.823
60.9,,1361.766
61,,1364.706
61.1,,1367.646
61.2,,1367.646
61.3,,1367.646
61.4,,1367.646
61.5,,1373.529
61.6,,1376.472
61.7,,1379.412
61.8,,1379.412
61.9,,1379.412
62,,1382.352
62.1,,1382.352
62.2,,1388.2350000000001
62.3,,1388.2350000000001
62.4,,1394.118
62.5,,1394.118
62.6,,1394.118
62.7,,1397.058
62.8,,1400.001
62.9,,1400.001
63,,1402.941
63.1,,1402.941
63.2,,1405.8809999999999
63.3,,1405.8809999999999
63.4,,1405.8809999999999
63.5,,1405.8809999999999
63.6,,1405.8809999999999
63.7,,1402.941
63.8,,1405.8809999999999
63.9,,1405.8809999999999
64,,1405.8809999999999
64.1,,1405.8809999999999
64.2,,1405.8809999999999
64.3,,1408.824
64.4,,1408.824
64.5,,1408.824
64.6,,1408.824
64.7,,1411.764
64.8,,1411.764
64.9,,1414.7069999999999
65,,1414.7069999999999
65.1,,1414.7069999999999
65.2,,1414.7069999999999
65.3,,1411.764
65.4,,1411.764
65.5,,1411.764
65.6,,1411.764
65.7,,1411.764
65.8,,1411.764
65.9,,1411.764
66,,1414.7069999999999
66.1,,1414.7069999999999
66.2,,1417.647
66.3,,1417.647
66.4,,1420.587
66.5,,1420.587
66.6,,1420.587
66.7,,1420.587
66.8,,1417.647
66.9,,1414.7069999999999
67,,1414.7069999999999
67.1,,1411.764
67.2,,1411.764
67.3,,1411.764
67.4,,1408.824
67.5,,1408.824
67.6,,1408.824
67.7,,1408.824
67.8,,1408.824
67.9,,1408.824
68,,1408.824
68.1,,1408.824
68.2,,1408.824
68.3,,1408.824
68.4,,1408.824
68.5,,1405.8809999999999
68.6,,1402.941
68.7,,1400.001
68.8,,1400.001
68.9,,1400.001
69,,1400.001
69.1,,1397.058
69.2,,1394.118
69.3,,1394.118
69.4,,1394.118
69.5,,1394.118
69.6,,1394.118
69.7,,1394.118
69.8,,1394.118
69.9,,1397.058
70,,1397.058
70.1,,1397.058
70.2,,1397.058
70.3,,1394.118
70.4,,1394.118
70.5,,1394.118
70.6,,1394.118
70.7,,1394.118
70.8,,1391.175
70.9,,1391.175
71,,1391.175
71.1,,1391.175
71.2,,1391.175
71.3,,1391.175
71.4,,1391.175
71.5,,1394.118
71.6,,1394.118
71.7,,1394.118
71.8,,1394.118
71.9,,1391.175
72,,1391.175
72.1,,1391.175
72.2,,1388.2350000000001
72.3,,1388.2350000000001
72.4,,1385.295
72.5,,1385.295
72.6,,1388.2350000000001
72.7,,1388.2350000000001
72.8,,1391.175
72.9,,1391.175
73,,1391.175
73.1,,1391.175
73.2,,1391.175
73.3,,1391.175
73.4,,1391.175
73.5,,1391.175
73.6,,1391.175
73.7,,1391.175
73.8,,1394.118
73.9,,1394.118
74,,1397.058
74.1,,1397.058
74.2,,1397.058
74.3,,1397.058
74.4,,1397.058
74.5,,1397.058
74.6,,1400.001
74.7,,1400.001
74.8,,1400.001
74.9,,1400.001
75,,1402.941
75.1,,1400.001
75.2,,1400.001
75.3,,1400.001
75.4,,1400.001
75.5,,1400.001
75.6,,1397.058
75.7,,1397.058
75.8,,1397.058
75.9,,1397.058
76,,1397.058
76.1,,1397.058
76.2,,1400.001
76.3,,1400.001
76.4,,1400.001
76.5,,1400.001
76.6,,1400.001
76.7,,1400.001
76.8,,1402.941
76.9,,1402.941
77,,1402.941
77.1,,1402.941
77.2,,1402.941
77.3,,1400.001
77.4,,1400.001
77.5,,1402.941
77.6,,1402.941
77.7,,1402.941
77.8,,1402.941
77.9,,1400.001
78,,1400.001
78.1,,1394.118
78.2,,1394.118
78.3,,1394.118
78.4,,1394.118
78.5,,1394.118
78.6,,1394.118
78.7,,1394.118
78.8,,1394.118
78.9,,1394.118
79,,1391.175
79.1,,1391.175
79.2,,1388.2350000000001
79.3,,1385.295
79.4,,1382.352
79.5,,1379.412
79.6,,1376.472
79.7,,1373.529
79.8,,1373.529
79.9,,1373.529
80,,1373.529
80.1,,1373.529
80.2,,1373.529
80.3,,1373.529
80.4,,1373.529
80.5,,1373.529
80.6,,1373.529
