Time (s),Take sample,Powertrain 1 ESC throttle - target (μs)
411.0, ,1335.294
412.0, ,1335.294
413.0, ,1335.294
414.0, ,1335.294
415.0, ,1335.294
416.0, ,1335.294
417.0, ,1335.294
418.0, ,1335.294
419.0, ,1335.294
420.0, ,1335.294
421.0, ,1335.294
422.0, ,1335.294
423.0, ,1335.294
424.0, ,1333.334
425.0, ,1335.294
426.0, ,1335.294
427.0, ,1335.294
428.0, ,1335.294
429.0, ,1335.294
430.0, ,1335.294
431.0, ,1335.294
432.0, ,1335.294
433.0, ,1335.294
434.0, ,1335.294
435.0, ,1335.294
436.0, ,1335.294
437.0, ,1335.294
438.0, ,1335.294
439.0, ,1335.294
440.0, ,1335.294
441.0, ,1333.334
442.0, ,1335.294
443.0, ,1335.294
444.0, ,1335.294
445.0, ,1335.294
446.0, ,1335.294
447.0, ,1335.294
448.0, ,1335.294
449.0, ,1335.294
450.0, ,1335.294
451.0, ,1335.294
452.0, ,1335.294
453.0, ,1335.294
454.0, ,1335.294
455.0, ,1335.294
456.0, ,1335.294
457.0, ,1335.294
458.0, ,1335.294
459.0, ,1335.294
460.0, ,1335.294
461.0, ,1335.294
462.0, ,1335.294
463.0, ,1333.334
464.0, ,1335.294
465.0, ,1335.294
466.0, ,1335.294
467.0, ,1335.294
468.0, ,1333.334
469.0, ,1335.294
470.0, ,1335.294
471.0, ,1311.764
472.0, ,1200.0
473.0, ,1200.0
474.0, ,1200.0
475.0, ,1200.0
476.0, ,1200.0
477.0, ,1200.0
478.0, ,1200.0
479.0, ,1200.0
480.0, ,1200.0
481.0, ,1200.0
482.0, ,1200.0
483.0, ,1200.0
484.0, ,1200.0
485.0, ,1200.0
486.0, ,1200.0
487.0, ,1200.0
488.0, ,1200.0
489.0, ,1200.0
490.0, ,1200.0
491.0, ,1200.0
492.0, ,1200.0
493.0, ,1200.0
494.0, ,1200.0
495.0, ,1200.0
496.0, ,1200.0
497.0, ,1200.0
498.0, ,1200.0
499.0, ,1200.0
500.0, ,1200.0
501.0, ,1223.53
502.0, ,1258.824
503.0, ,1296.078
504.0, ,1303.922
505.0, ,1303.922
506.0, ,1296.078
507.0, ,1280.392
508.0, ,1274.51
509.0, ,1272.55
510.0, ,1272.55
511.0, ,1274.51
512.0, ,1284.314
513.0, ,1296.078
514.0, ,1300.0
515.0, ,1305.882
516.0, ,1303.922
517.0, ,1300.0
518.0, ,1294.118
