Time (s),MGM ESC throttle (μs),MGM force Fz (thrust) (N),MGM torque MZ (torque) (N⋅m),MGM voltage (V),MGM current (A),MGM rotation speed (rpm),MGM electrical power (W),MGM mechanical power (W),MGM motor & ESC efficiency (%),MGM propeller efficiency (N/W),MGM powertrain efficiency (N/W)
7.3,1200,0.002073514,-0.000133244,16.94006348,1.1503938436508179,2559.2677292487624,19.48774528503418,-0.035710108,-0.183243921,-0.05806518,0.000106401
7.4,1200,0.00079877,-2.10711E-05,16.940092086791992,1.149787187576294,2560.370176422316,19.477500915527344,-0.005649601,-0.02900578,-0.141385272,4.10099E-05
7.5,1200,0.000119492,-8.95272E-05,16.939992904663086,1.1424545049667358,2562.1912687795816,19.35317039489746,-0.024021231,-0.124120386,-0.004974431,6.17428E-06
7.6,1200,0.000299365,-4.92352E-05,16.939985275268555,1.1387701034545898,2564.316605083236,19.290748596191406,-0.013221345,-0.068537227,-0.02264254,1.55186E-05
7.7,1200,0.000841294,-0.000123532,16.94004249572754,1.1435421705245972,2563.2529169564928,19.371652603149414,-0.033158936,-0.171172468,-0.025371555,4.34291E-05
7.8,1200,-3.82399E-05,-0.000251596,16.94007682800293,1.1492671966552734,2563.2051238461404,19.468673706054688,-0.067532822,-0.346879428,0.000566241,-1.96417E-06
7.9,1200,-0.001172988,-7.26649E-06,16.940160751342773,1.1391786336898804,2564.0339263207866,19.297868728637695,-0.001951088,-0.010110383,0.6011968851089478,-6.07833E-05
8,1200,-0.000259662,-0.000157366,16.94012451171875,1.1503301858901978,2564.637168628282,19.486736297607422,-0.042263463,-0.216883235,0.006143888,-1.33251E-05
8.1,1200,0.000495706,-4.93936E-05,16.940174102783203,1.1394610404968262,2564.6543624911524,19.30266761779785,-0.013265646,-0.068724417,-0.037367616,2.56807E-05
8.2,1200,-0.000384288,3.26307E-05,16.94025230407715,1.1397919654846191,2564.4675613708123,19.30836296081543,0.008763001,0.045384484,-0.043853458,-1.99027E-05
8.3,1200,0.000285345,0.000163493,16.940250396728516,1.1456199884414673,2563.1153660535274,19.407089233398438,0.043882973,0.2261182526126504,0.006502415,1.47031E-05
8.4,1200,0.001959671,-0.000149965,16.94017982,1.1401599645614624,2564.538376772127,19.31451416015625,-0.040274154,-0.208517537,-0.048658274,0.000101461
