Time (s),Powertrain 1 - ESC throttle (μs),Powertrain 1 - force Fz (thrust) (N),Powertrain 1 - torque MZ (torque) (N⋅m),Powertrain 1 - voltage (V),Powertrain 1 - current (A),Powertrain 1 - rotation speed (rpm),Powertrain 1 - electrical power (W),Powertrain 1 - mechanical power (W),Powertrain 1 - motor & ESC efficiency (%),Powertrain 1 - propeller efficiency (N/W),Powertrain 1 - powertrain efficiency (N/W),Powertrain 1 - Temperature PT100 2 (°C)
93.5,1843,-22.30205726623535,0.41422468423843384,16.949806213378906,49.63754653930664,12214.64491166768,841.3468017578125,529.8408813476562,62.97532320022583,-0.04209199175238609,-0.02650756761431694,27.660089111328148
93.6,1843,-22.330570220947266,0.4138163924217224,16.951555252075195,49.68549346923828,12238.222068984402,842.2463989257812,530.34033203125,62.96736001968384,-0.04210611432790756,-0.026513108983635902,27.659906005859398
93.7,1843,-22.25867462158203,0.413687139749527,16.95191764831543,49.72151565551758,12256.811257540212,842.8750610351562,530.97998046875,62.996286153793335,-0.04191998764872551,-0.026408037170767784,27.659936523437523
93.8,1843,-22.340429306030273,0.4123900532722473,16.952495574951172,49.722904205322266,12267.821158205516,842.9273071289062,529.7905883789062,62.851279973983765,-0.04216841608285904,-0.026503387838602066,27.660516357421898
93.9,1843,-22.270305633544922,0.41322600841522217,16.952781677246094,49.71928024291992,12274.111197802127,842.880126953125,531.13671875,63.014501333236694,-0.041929516941308975,-0.026421677321195602,27.661614990234398
94,1865,-22.395179748535156,0.4132170081138611,16.95248794555664,49.707862854003906,12276.275875995401,842.6719360351562,531.2188110351562,63.039809465408325,-0.042158108204603195,-0.026576392352581024,27.662011718750023
94.1,1865,-22.323062896728516,0.4150875210762024,16.944089889526367,50.16794204711914,12289.913232044464,850.0501098632812,534.2162475585938,62.84526586532593,-0.041786566376686096,-0.026260878890752792,27.663171386718773
94.2,1865,-22.59615135192871,0.4216766357421875,16.9368953704834,51.34732437133789,12348.233649216074,869.6642456054688,545.271728515625,62.69910931587219,-0.04144016653299332,-0.02598261460661888,27.664727783203148
94.3,1865,-22.82523536682129,0.42673546075820923,16.93955421447754,52.13681411743164,12404.335766655968,883.1743774414062,554.3203735351562,62.764549255371094,-0.041176971048116684,-0.02584453858435154,27.665032958984398
94.4,1865,-23.0335693359375,0.43110421299934387,16.941322326660156,52.76479721069336,12442.82320871699,893.9054565429688,561.7328491210938,62.84030079841614,-0.0410044901072979,-0.02576734498143196,27.665368652343773
94.5,1865,-23.162004470825195,0.4335445463657379,16.94249725341797,53.29674530029297,12469.011501818817,902.97998046875,566.1015625,62.69259452819824,-0.040914926677942276,-0.025650629773736,27.665948486328148
94.6,1865,-23.241657257080078,0.43535301089286804,16.943735122680664,53.73531723022461,12492.290243617243,910.4769897460938,569.5242919921875,62.55229711532593,-0.04080889746546745,-0.025526901707053185,27.666680908203148
94.7,1865,-23.29872703552246,0.4367448091506958,16.944969177246094,54.0762939453125,12513.703888426311,916.3211059570312,572.3244018554688,62.458932399749756,-0.04070895537734032,-0.02542637661099434,27.667657470703148
94.8,1865,-23.36049461364746,0.4371168911457062,16.946941375732422,54.247379302978516,12538.824413501728,919.3271484375,573.9618530273438,62.43281960487366,-0.040700431913137436,-0.025410426780581474,27.668359375000023
94.9,1865,-23.387929916381836,0.4371741712093353,16.94792366027832,54.34584045410156,12557.604774498946,921.0491333007812,574.8968505859375,62.41760849952698,-0.04068195819854736,-0.02539270557463169,27.668664550781273
95,1871,-23.444438934326172,0.4371697008609772,16.9478816986084,54.482147216796875,12566.371896034549,923.3569946289062,575.2922973632812,62.304431200027466,-0.04075222089886665,-0.025390438735485077,27.668786621093773
95.1,1871,-23.44831657409668,0.4381901025772095,16.94595718383789,54.7216682434082,12582.312646865468,927.31103515625,577.3665771484375,62.26245164871216,-0.04061252623796463,-0.0252863559871912,27.669091796875023
95.2,1871,-23.46757698059082,0.43994826078414917,16.944751739501953,55.08737564086914,12607.611521840494,933.44189453125,580.8487548828125,62.22655177116394,-0.04040221869945526,-0.025140907615423203,27.669580078125023
95.3,1871,-23.455041885375977,0.44116833806037903,16.945528030395508,55.34797668457031,12627.98187802114,937.9006958007812,583.400634765625,62.20281720161438,-0.0402040034532547,-0.025008022785186768,27.669519042968773
95.4,1871,-23.48067283630371,0.44257432222366333,16.947298049926758,55.48126220703125,12650.539060421808,940.2575073242188,586.3053588867188,62.355828285217285,-0.04004853963851929,-0.024972598999738693,27.669641113281273
95.5,1871,-23.575992584228516,0.4425627589225769,16.9483642578125,55.52515411376953,12666.559077874777,941.060546875,587.032470703125,62.37988471984863,-0.04016130790114403,-0.025052577257156372,27.669671630859398
95.6,1871,-23.652799606323242,0.4416840970516205,16.94881248474121,55.5482063293457,12677.66922750326,941.4761352539062,586.380859375,62.283140420913696,-0.04033692181110382,-0.025123100727796555,27.669915771484398
95.7,1871,-23.608020782470703,0.44189897179603577,16.949188232421875,55.546016693115234,12682.545290444812,941.4598999023438,586.8917846679688,62.33847737312317,-0.04022550955414772,-0.025075970217585564,27.669671630859398
95.8,1871,-23.63697052001953,0.4425196349620819,16.948139190673828,55.627803802490234,12680.780442418632,942.7877807617188,587.6343383789062,62.32943534851074,-0.040223944932222366,-0.025071358308196068,27.669824218750023
95.9,1871,-23.662708282470703,0.44314679503440857,16.948280334472656,55.703887939453125,12681.032230512195,944.0850830078125,588.4788208007812,62.33323812484741,-0.04020995646715164,-0.025064168497920036,27.669976806640648
96,1875,-23.52901268005371,0.44359463453292847,16.949050903320312,55.69248962402344,12687.861982550101,943.934814453125,589.3908081054688,62.439775466918945,-0.039920903742313385,-0.024926522746682167,27.670831298828148
96.1,1875,-23.57447052001953,0.44502556324005127,16.946847915649414,55.80933380126953,12691.698253920087,945.7922973632812,591.4708251953125,62.53707408905029,-0.03985736891627312,-0.024925632402300835,27.671136474609398
96.2,1875,-23.686058044433594,0.44701912999153137,16.945728302001953,56.025325775146484,12694.227791711905,949.3899536132812,594.2388305664062,62.59164810180664,-0.03985949233174324,-0.024948714300990105,27.671655273437523
96.3,1875,-23.81627082824707,0.44694918394088745,16.945758819580078,56.246150970458984,12695.639436995725,953.1337280273438,594.2119140625,62.34297156333923,-0.04008043557405472,-0.02498733438551426,27.672052001953148
96.4,1875,-23.860610961914062,0.44684386253356934,16.94610595703125,56.42093276977539,12700.231072646402,956.1151123046875,594.2867431640625,62.15640306472778,-0.0401499979197979,-0.02495579421520233,27.673028564453148
96.5,1875,-23.827844619750977,0.44840267300605774,16.946556091308594,56.55180740356445,12706.852166958623,958.3583984375,596.6707763671875,62.259674072265625,-0.039934657514095306,-0.024863187223672867,27.673181152343773
96.6,1875,-23.819469451904297,0.44864869117736816,16.947660446166992,56.5968132019043,12718.173305684026,959.18359375,597.5300903320312,62.295693159103394,-0.039863213896751404,-0.024833066388964653,27.674157714843773
96.7,1875,-23.901168823242188,0.4479268193244934,16.94835662841797,56.593536376953125,12727.5675660823,959.1674194335938,597.00927734375,62.24244832992554,-0.040034834295511246,-0.024918662384152412,27.674523925781273
96.8,1875,-23.97400665283203,0.44760528206825256,16.94736671447754,56.663299560546875,12722.200749495421,960.293701171875,596.3291625976562,62.09862232208252,-0.04020263999700546,-0.024965286254882812,27.674493408203148
96.9,1875,-23.987503051757812,0.44774574041366577,16.946277618408203,56.816444396972656,12715.32670140402,962.8272705078125,596.1940307617188,61.92117929458618,-0.040234390646219254,-0.024913610890507698,27.674645996093773
97,1859,-23.951143264770508,0.44941696524620056,16.945833206176758,56.982059478759766,12711.19667725821,965.6084594726562,598.2249755859375,61.95315718650818,-0.040037017315626144,-0.024804197251796722,27.674645996093773
