Time (s),ARC_RD - ESC throttle (μs),ARC_RD - force Fz (thrust) (N),ARC_RD - torque MZ (torque) (N⋅m),ARC_RD - voltage (V),ARC_RD - current (A),ARC_RD - rotation speed (rpm),ARC_RD - electrical power (W),ARC_RD - mechanical power (W),ARC_RD - motor & ESC efficiency (%),ARC_RD - propeller efficiency (N/W),ARC_RD - powertrain efficiency (N/W)
3.8,1075,0.017387304455041885,0.007886335,16.95758819580078,0.455913782,711.3844922721224,7.731198310852051,0.5875005125999451,7.599087804555893,0.029595386,0.002248979
3.9,1087,0.031941790133714676,0.007863875,16.956716537475586,0.462664932,793.1616368650115,7.845278263092041,0.6531710028648376,8.325657993555069,0.048902646,0.004071467
4,1097,0.042488299,0.008350678,16.955530166625977,0.49491754174232483,868.9814722499775,8.391589164733887,0.7599077224731445,9.055587649345398,0.055912446,0.0050632
4.1,1112,0.063920379,0.011220797896385193,16.95290184020996,0.5632190704345703,962.0460235406895,9.548197746276855,1.1304417848587036,11.839321255683899,0.056544598,0.006694497
4.2,1120,0.099336967,0.015133908949792385,16.94896125793457,0.6435446739196777,1093.2903487445324,10.907413482666016,1.7326675653457642,15.885227918624878,0.057331808,0.009107289
4.3,1126,0.13745354115962982,0.018325617536902428,16.944787979125977,0.7474226355552673,1258.5812909355966,12.664917945861816,2.415285587310791,19.07067745923996,0.056909848004579544,0.010853093
4.4,1132,0.20787934958934784,0.018019779,16.94287682,0.8134154081344604,1426.8669523355502,13.781597137451172,2.6925361156463623,19.53718513250351,0.077205777,0.015083836391568184
4.5,1149,0.25655677914619446,0.017838882,16.941091537475586,0.8528223037719727,1572.7294851809456,14.44774055480957,2.9379897117614746,20.33528834581375,0.087323919,0.01775757
4.6,1159,0.3178110122680664,0.019659614,16.937101364135742,0.9529105424880981,1711.1973455956427,16.139541625976562,3.5229275226593018,21.827927231788635,0.090212189,0.019691450521349907
4.7,1170,0.3823096454143524,0.022606808692216873,16.932138442993164,1.0769439935684204,1866.3385902523924,18.23496437072754,4.418331623077393,24.229998886585236,0.086528055,0.020965746
4.8,1201,0.48198142647743225,0.024491571,16.928142547607422,1.1805362701416016,2030.130387882909,19.984285354614258,5.206779479980469,26.054367423057556,0.092568047,0.024118021
4.9,1209,0.584432065,0.027458826079964638,16.92289924621582,1.319779872894287,2200.485286966134,22.334501266479492,6.327455043792725,28.330403566360474,0.092364475,0.026167230680584908
5,1211,0.6991872787475586,0.030000329,16.917333602905273,1.4636811017990112,2380.6096515060385,24.761581420898438,7.478987693786621,30.20399808883667,0.093486883,0.028236778
5.1,1217,0.8405133485794067,0.032917116,16.91161537,1.6067709922790527,2566.9385234603074,27.173093795776367,8.848423004,32.56317675113678,0.094990186,0.030931824818253517
5.2,1225,0.9853612184524536,0.035138771,16.90618133544922,1.7531158924102783,2755.3080738001977,29.63849449157715,10.138772010803223,34.20811891555786,0.097187437,0.033245992
5.3,1238,1.115046739578247,0.035378594,16.903675079345703,1.8335518836975098,2924.412046504232,30.993764877319336,10.834471702575684,34.95694100856781,0.10291657596826553,0.035976484417915344
5.4,1256,1.2297543287277222,0.036848701536655426,16.898778915405273,1.9603763818740845,3070.2326146673668,33.127967834472656,11.847373962402344,35.76245307922363,0.1037997379899025,0.037121333
5.5,1258,1.3717843294143677,0.040348682552576065,16.891189575195312,2.1445846557617188,3222.3140802866533,36.224586486816406,13.615257263183594,37.585681676864624,0.10075346380472183,0.037868876
5.6,1267,1.5243781805038452,0.042544778,16.885772705078125,2.294445753097534,3383.712871053402,38.74348831176758,15.075384140014648,38.91075551509857,0.10111703723669052,0.039345402270555496
5.7,1283,1.658974289894104,0.044120337814092636,16.880855560302734,2.429600477218628,3531.231551741066,41.01373291015625,16.31524658203125,39.77995812892914,0.10168245434761047,0.040449236
5.8,1285,1.8129502534866333,0.047755774,16.872140884399414,2.635617733001709,3680.8449694849037,44.46851348876953,18.407806396484375,41.395145654678345,0.098488122,0.040769301
5.9,1293,1.9612394571304321,0.049430508,16.867841720581055,2.7776761054992676,3829.742656259075,46.85340118408203,19.82409096,42.310890555381775,0.098932125,0.041859064251184464
6,1302,2.1098625659942627,0.050660383,16.86363983154297,2.902311086654663,3960.855186132693,48.94352722167969,21.012903213500977,42.93295443058014,0.10040795058012009,0.043108101934194565
6.1,1322,2.2397284507751465,0.053169701248407364,16.85646629333496,3.068908214569092,4079.8268088698032,51.73094940185547,22.716140747070312,43.912091851234436,0.098596342,0.043295715004205704
6.2,1326,2.3813929557800293,0.057959575206041336,16.84515953063965,3.3304131031036377,4214.909955380922,56.101341247558594,25.582448959350586,45.60042321681976,0.09308698,0.042448059
6.3,1345,2.5901312828063965,0.060729526,16.835304260253906,3.600114107131958,4365.823404010624,60.60901641845703,27.764808654785156,45.8096981,0.09328828,0.042735081166028976
6.4,1362,2.734555483,0.068211824,16.822622299194336,3.911015748977661,4522.034310932911,65.79354095458984,32.30146026611328,49.09518063,0.084657341,0.041562673
6.5,1374,3.009467601776123,0.072011307,16.809314727783203,4.245202541351318,4690.486956797692,71.35894775390625,35.37099075317383,49.567705392837524,0.085082926,0.042173654
6.6,1384,3.3698582649230957,0.078356273,16.794858932495117,4.612637042999268,4867.486409616208,77.46858978271484,39.93991470336914,51.55627131462097,0.084373198,0.043499674648046494
6.7,1395,3.860856771469116,0.085966788,16.778684616088867,5.033260345458984,5048.584995911648,84.45148468017578,45.449485778808594,53.81727219,0.084948301,0.045716859
6.8,1407,4.083275795,0.089650691,16.762510299682617,5.467005252838135,5236.460295549358,91.64073181152344,49.160926818847656,53.64528298377991,0.083059371,0.044557434
6.9,1428,4.272787570953369,0.093232729,16.74567222595215,5.915586948394775,5424.168902143645,99.06047821044922,52.95783615112305,53.460103273391724,0.080682822,0.043133120983839035
7,1455,4.516869545,0.097116798,16.72795867919922,6.379035472869873,5610.787009841966,106.70824432373047,57.06196975708008,53.474754095077515,0.07915727,0.042329154908657074
7.1,1467,4.8206586837768555,0.10138888657093048,16.70859146118164,6.873881816864014,5798.222263,114.8528823852539,61.562156677246094,53.60088348388672,0.07830555,0.041972466
7.2,1471,5.124261856079102,0.10690274089574814,16.68738365,7.438497543334961,5985.038537412191,124.12905883789062,67.00148010253906,53.977274894714355,0.07647983,0.041281726
7.3,1484,5.470905780792236,0.11146928369998932,16.66583824157715,7.995149136,6170.025850930442,133.24586486816406,72.02293395996094,54.05266284942627,0.075960606,0.04105873
7.4,1494,5.818588733673096,0.11707523465156555,16.642765045166016,8.596983909606934,6354.0590507700745,143.07757568359375,77.90133666992188,54.44691777229309,0.074691772,0.040667366
7.5,1502,6.151019573,0.12311562150716782,16.616718292236328,9.264637947,6537.926723251902,153.9478759765625,84.29112243652344,54.75302338600159,0.07297352,0.03995521
7.6,1510,6.529700756072998,0.12989428639411926,16.58856964111328,9.977880477905273,6721.477912088348,165.51876831054688,91.42888641357422,55.237776041030884,0.071418352,0.039449912
7.7,1517,6.888753414154053,0.1360476315021515,16.559825897216797,10.732220649719238,6904.970233801067,177.7237091064453,98.37424469,55.35234808921814,0.070025988,0.038761027
7.8,1529,7.286002159118652,0.14174479246139526,16.532564163208008,11.469796180725098,7087.203032,189.62513732910156,105.1987533569336,55.47721982002258,0.069259398,0.038423188
7.9,1531,7.637282848358154,0.14686916768550873,16.506587982177734,12.183416366577148,7259.746651745537,201.10662841796875,111.65565490722656,55.52062392234802,0.068400323,0.037976283580064774
8,1537,7.971769332885742,0.1502656638622284,16.492225646972656,12.62690258026123,7401.516753806314,208.2457275390625,116.46866607666016,55.92848062515259,0.068445615,0.038280591
8.1,1541,8.189066886901855,0.15262962877750397,16.478483200073242,13.013846397399902,7510.928005944536,214.44845581054688,120.04969787597656,55.98067641,0.068213977,0.038186647
8.2,1548,8.401888847351074,0.15538600087165833,16.462299346923828,13.46147632598877,7606.486250194301,221.6068572998047,123.77262115478516,55.852341651916504,0.067881644,0.03791349
8.3,1554,8.611783981323242,0.15925458073616028,16.443700790405273,13.946965217590332,7696.394416251929,229.3397216796875,128.35354614257812,55.96655607223511,0.067094244,0.037550338
8.4,1560,8.825880051,0.16389191150665283,16.421236038208008,14.510980606079102,7784.7883566913215,238.28823852539062,133.6081543,56.06997013092041,0.06605795,0.037038673
8.5,1564,9.068227767944336,0.16649749875068665,16.402538299560547,15.017477035522461,7877.835131276353,246.32473754882812,137.35459899902344,55.76159358024597,0.066020563,0.036814115941524506
8.6,1566,9.219639778137207,0.16870562732219696,16.389942169189453,15.397112846374512,7966.205758,252.3577880859375,140.73745727539062,55.769020318984985,0.065509491,0.036534
8.7,1570,9.439487457,0.17151089012622833,16.377132415771484,15.75972843170166,8040.2705079792195,258.0991516113281,144.4079132080078,55.950552225112915,0.065366834,0.036573104560375214
8.8,1577,9.5365839,0.17425404489040375,16.36228370666504,16.14270592,8102.340935785059,264.13153076171875,147.85023498535156,55.975985527038574,0.064501651,0.036105435
8.9,1587,9.682645797729492,0.17561767995357513,16.344926834106445,16.565828323364258,8163.228192688273,270.7672424316406,150.1269989013672,55.44503331184387,0.064496368,0.035760034
9,1601,9.891267776489258,0.18020567297935486,16.318471908569336,17.218256,8238.223159787556,280.9756164550781,155.4642791748047,55.33016920089722,0.063624054,0.035203293
9.1,1609,10.10398006439209,0.18661296367645264,16.28042221069336,18.124208450317383,8339.177362764656,295.06976318359375,162.96473693847656,55.229222774505615,0.06200102,0.034242682
9.2,1622,10.371928215026855,0.19561925530433655,16.23234748840332,19.268556594848633,8464.554427974594,312.7738952636719,173.39810180664062,55.438798666000366,0.059815697371959686,0.033161104
9.3,1622,10.794875144958496,0.2009766697883606,16.189613342285156,20.40384864807129,8605.971327293011,330.3304138183594,181.12322998046875,54.83092665672302,0.059599616,0.032679021
9.4,1632,11.164026260375977,0.20612891018390656,16.16775131225586,21.148679733276367,8733.294504642783,341.9266052246094,188.51487731933594,55.133140087127686,0.059220929,0.032650358974933624
9.5,1636,11.462360382080078,0.21112926304340363,16.133054733276367,22.02135467529297,8839.716356012748,355.2717285,195.4408721923828,55.01165986061096,0.058648739010095596,0.032263644
9.6,1641,11.734601020812988,0.21620014309883118,16.09741973876953,22.94993019104004,8942.493691296948,369.4346618652344,202.4618682861328,54.803162813186646,0.05795956,0.031763672828674316
9.7,1653,11.954216957092285,0.21788951754570007,16.06719207763672,23.757549285888672,9041.885292702653,381.71710205078125,206.31173706054688,54.048335552215576,0.057942495,0.031316954642534256
9.8,1663,12.20594596862793,0.22592587769031525,16.029233932495117,24.747093200683594,9143.130917084341,396.67694091796875,216.31643676757812,54.53214645385742,0.056426343,0.030770495533943176
9.9,1682,12.522615432739258,0.22826138138771057,15.979735374450684,25.98621178,9253.651901931233,415.2527770996094,221.19444274902344,53.26741933822632,0.056613605469465256,0.030156608670949936
10,1690,12.913435935974121,0.23733960092067719,15.911706924438477,27.610069274902344,9376.191106,439.3233337402344,233.03721618652344,53.04458141326904,0.055413622,0.029393923
10.1,1696,13.264703750610352,0.24314972758293152,15.842196464538574,29.373748779296875,9512.856670241326,465.3446960449219,242.2218780517578,52.05214023590088,0.054762616753578186,0.028505115
10.2,1698,13.65263843536377,0.24839287996292114,15.784706115722656,31.031044006347656,9662.28999,489.815918,251.3320313,51.31152868270874,0.054321125,0.027872998267412186
10.3,1702,14.096850395202637,0.26163947582244873,15.744275093078613,32.270606994628906,9789.072288779986,508.0773010253906,268.20904541015625,52.78902053833008,0.052559189,0.027745483443140984
10.4,1727,14.418450355529785,0.26384806632995605,15.686552047729492,33.68174743652344,9893.092244933345,528.3504638671875,273.347168,51.735955476760864,0.052747756242752075,0.027289556339383125
10.5,1729,14.661382675170898,0.2681758403778076,15.620877265930176,35.29524612426758,9997.176313795713,551.3427124023438,280.7537841796875,50.92182755470276,0.052221495658159256,0.026592141017317772
10.6,1736,15.096031188964844,0.2780384421348572,15.545913696289062,37.237022399902344,10121.136488136548,578.8835449,294.6882019042969,50.90630054473877,0.051227129995822906,0.026077838614583015
10.7,1748,15.511520385742188,0.2886405289173126,15.465417861938477,39.34461975097656,10257.590480934845,608.480957,310.0496826171875,50.954705476760864,0.050029144,0.025492202
10.8,1756,15.748193740844727,0.2952237129211426,15.370213508605957,41.69385528564453,10393.039652730125,640.8434448242188,321.30865478515625,50.13840198516846,0.049012665,0.024574166163802147
10.9,1758,16.09762191772461,0.30103644728660583,15.287879943847656,43.889747619628906,10527.346452619424,670.9812012,331.86895751953125,49.46024417877197,0.048505961894989014,0.023991167545318604
11,1760,16.61128044128418,0.30534085631370544,15.235150337219238,45.562992095947266,10646.53198,694.1590576171875,340.4252014160156,49.04138445854187,0.048795685172080994,0.023930078372359276
11.1,1762,16.869787216186523,0.310029536,15.179192543029785,47.15341567993164,10739.529211613753,715.7507934570312,348.671875,48.71414601802826,0.048382986,0.023569359
11.2,1764,17.087629318237305,0.3161733150482178,15.122673034667969,48.61767578,10815.365220886675,735.2291870117188,358.09234619140625,48.704856634140015,0.047718503,0.023241227492690086
11.3,1764,17.354230880737305,0.3181440830230713,15.090546607971191,49.591609954833984,10877.061463609023,748.364502,362.3798522949219,48.422908782958984,0.047889613,0.023189542815089226
11.4,1767,17.734853744506836,0.3197604715824127,15.07142448425293,50.31741714477539,10928.37377884312,758.3551635742188,365.939209,48.25432896614075,0.048463936895132065,0.023385947570204735
11.5,1777,17.66214942932129,0.32203996181488037,15.026225090026855,51.426753997802734,10972.557926521016,772.75,370.0379638671875,47.88585603237152,0.047730643302202225,0.022856228053569794
11.6,1783,17.95488929748535,0.3313623368740082,14.944849967956543,53.19785690307617,11021.269597140577,795.0339965820312,382.4400634765625,48.103612661361694,0.046948243,0.022583801299333572
11.7,1789,17.986255645751953,0.33254677057266235,14.872493743896484,55.02605438232422,11087.922335112145,818.3746337890625,386.1282043457031,47.18232750892639,0.046581045,0.021978020668029785
