Time (s),ARC RD - ESC throttle (μs),ARC RD - force Fz (thrust) (N),ARC RD - torque MZ (torque) (N⋅m),ARC RD - voltage (V),ARC RD - current (A),ARC RD - rotation speed (rpm),ARC RD - electrical power (W),ARC RD - mechanical power (W),ARC RD - motor & ESC efficiency (%),ARC RD - propeller efficiency (N/W),ARC RD - powertrain efficiency (N/W)
7.1,1000,6.647094249725342,0.12317172437906265,16.96643639,8.439628601074219,6737.855212,143.19041442871094,86.90830993652344,60.69422364234924,0.076483987,0.04642136
7.2,1000,7.004168987,0.1304435282945633,16.965438842773438,9.10003376,6923.155512290117,154.3860626220703,94.57040405273438,61.255788803100586,0.074063011,0.045367881655693054
7.3,1000,7.407086372375488,0.13683657348155975,16.96485137939453,9.790295600891113,7109.605761259397,166.09091186523438,101.87704467773438,61.33812069892883,0.072706141,0.044596579
7.4,1000,7.754511356,0.1447465419769287,16.963977813720703,10.50795841217041,7296.745513271929,178.25677490234375,110.60277557373047,62.04688549041748,0.070111364,0.043501917
7.5,1000,8.175978660583496,0.1511497050523758,16.963319778442383,11.252823829650879,7483.890510869744,190.8852539,118.45771026611328,62.05703020095825,0.069020227,0.042831905
7.6,1000,8.586164474487305,0.1592952162027359,16.96225929260254,12.029726028442383,7671.318770072818,204.05133056640625,127.96800231933594,62.71362900733948,0.067096181,0.042078454
7.7,1000,9.084041595458984,0.16672572493553162,16.961225509643555,12.868631362915039,7858.389746633868,218.26776123046875,137.2033691,62.860119342803955,0.066208586,0.041618797928094864
7.8,1000,9.490355491638184,0.17649014294147491,16.960006713867188,13.748510360717773,8045.358142860503,233.17483520507812,148.69435119628906,63.76946568489075,0.063824587,0.0407006
7.9,1000,9.969102859,0.1856433004140854,16.95895767211914,14.659326553344727,8233.277155708902,248.60690307617188,160.0592041015625,64.38244581222534,0.062283847481012344,0.040099863
8,1000,10.448026657104492,0.19051222503185272,16.958126068115234,15.582205772399902,8419.612584644772,264.2449951171875,167.97457885742188,63.567739725112915,0.062200043350458145,0.039539162
8.1,1000,10.919215202331543,0.2025914192199707,16.95654869,16.572900772094727,8606.062250771243,281.0191955566406,182.5803985595703,64.97079133987427,0.059804968535900116,0.038855761
8.2,1000,11.404939651489258,0.21198539435863495,16.9550724,17.639896392822266,8792.193684723903,299.0857238769531,195.1784210205078,65.25835394859314,0.058433402329683304,0.038132679
8.3,1000,11.913758277893066,0.2192768007516861,16.953964233398438,18.726404190063477,8979.050175131177,317.4867858886719,206.1824493408203,64.94205594062805,0.057782601565122604,0.037525211
