Time (s),Take sample,Powertrain 1 ESC throttle - target (μs),
33,x,1887.0592,1887.0592
33.1,x,1887.0592,1887.0592
33.2,x,1887.0592,1887.0592
33.3,x,1887.0592,1887.0592
33.4,x,1887.0592,1887.0592
33.5,x,1887.0592,1887.0592
33.6,x,1887.0592,1887.0592
33.7,x,1887.0592,1887.0592
33.8,x,1887.0592,1887.0592
33.9,x,1887.0592,1887.0592
34,x,1887.0592,1887.0592
34.1,x,1887.0592,1887.0592
34.2,x,1887.0592,1887.0592
34.3,x,1887.0592,1887.0592
34.4,x,1887.0592,1887.0592
34.5,x,1887.0592,1887.0592
34.6,x,1887.0592,1887.0592
34.7,x,1887.0592,1887.0592
34.8,x,1887.0592,1887.0592
34.9,x,1887.0592,1887.0592
35,x,1887.0592,1887.0592
35.1,x,1887.0592,1887.0592
35.2,x,1887.0592,1887.0592
35.3,x,1887.0592,1887.0592
35.4,x,1887.0592,1887.0592
35.5,x,1890.1952,1890.1952
35.6,x,1887.0592,1887.0592
35.7,x,1887.0592,1887.0592
35.8,x,1887.0592,1887.0592
35.9,x,1887.0592,1887.0592
36,x,1887.0592,1887.0592
36.1,x,1887.0592,1887.0592
36.2,x,1887.0592,1887.0592
36.3,x,1887.0592,1887.0592
36.4,x,1887.0592,1887.0592
36.5,x,1887.0592,1887.0592
36.6,x,1887.0592,1887.0592
36.7,x,1887.0592,1887.0592
36.8,x,1887.0592,1887.0592
36.9,x,1887.0592,1887.0592
37,x,1887.0592,1887.0592
37.1,x,1887.0592,1887.0592
37.2,x,1887.0592,1887.0592
37.3,x,1887.0592,1887.0592
37.4,x,1887.0592,1887.0592
37.5,x,1887.0592,1887.0592
37.6,x,1887.0592,1887.0592
37.7,x,1883.92,1883.92
37.8,x,1887.0592,1887.0592
37.9,x,1887.0592,1887.0592
38,x,1887.0592,1887.0592
38.1,x,1887.0592,1887.0592
38.2,x,1887.0592,1887.0592
38.3,x,1887.0592,1887.0592
38.4,x,1887.0592,1887.0592
38.5,x,1883.92,1883.92
38.6,x,1861.9616,1861.9616
38.7,x,1861.9616,1861.9616
38.8,x,1861.9616,1861.9616
38.9,x,1861.9616,1861.9616
39,x,1861.9616,1861.9616
39.1,x,1861.9616,1861.9616
39.2,x,1861.9616,1861.9616
39.3,x,1861.9616,1861.9616
39.4,x,1861.9616,1861.9616
39.5,x,1861.9616,1861.9616
39.6,x,1861.9616,1861.9616
39.7,x,1861.9616,1861.9616
39.8,x,1861.9616,1861.9616
39.9,x,1861.9616,1861.9616
40,x,1861.9616,1861.9616
40.1,x,1861.9616,1861.9616
40.2,x,1861.9616,1861.9616
40.3,x,1861.9616,1861.9616
40.4,x,1861.9616,1861.9616
40.5,x,1896.4704,1896.4704
40.6,x,1896.4704,1896.4704
40.7,x,1896.4704,1896.4704
40.8,x,1896.4704,1896.4704
40.9,x,1896.4704,1896.4704
41,x,1896.4704,1896.4704
41.1,x,1896.4704,1896.4704
41.2,x,1896.4704,1896.4704
41.3,x,1896.4704,1896.4704
41.4,x,1896.4704,1896.4704
41.5,x,1896.4704,1896.4704
41.6,x,1896.4704,1896.4704
41.7,x,1896.4704,1896.4704
41.8,x,1896.4704,1896.4704
41.9,x,1896.4704,1896.4704
42,x,1896.4704,1896.4704
42.1,x,1896.4704,1896.4704
42.2,x,1896.4704,1896.4704
42.3,x,1896.4704,1896.4704
42.4,x,1893.3344,1893.3344
42.5,x,1896.4704,1896.4704
42.6,x,1896.4704,1896.4704
42.7,x,1896.4704,1896.4704
42.8,x,1896.4704,1896.4704
42.9,x,1896.4704,1896.4704
43,x,1896.4704,1896.4704
43.1,x,1896.4704,1896.4704
43.2,x,1896.4704,1896.4704
43.3,x,1896.4704,1896.4704
43.4,x,1896.4704,1896.4704
43.5,x,1896.4704,1896.4704
43.6,x,1896.4704,1896.4704
43.7,x,1896.4704,1896.4704
43.8,x,1896.4704,1896.4704
43.9,x,1896.4704,1896.4704
44,x,1896.4704,1896.4704
44.1,x,1893.3344,1893.3344
44.2,x,1896.4704,1896.4704
44.3,x,1896.4704,1896.4704
44.4,x,1896.4704,1896.4704
44.5,x,1896.4704,1896.4704
44.6,x,1896.4704,1896.4704
44.7,x,1896.4704,1896.4704
44.8,x,1896.4704,1896.4704
44.9,x,1896.4704,1896.4704
45,x,1896.4704,1896.4704
45.1,x,1896.4704,1896.4704
45.2,x,1896.4704,1896.4704
45.3,x,1896.4704,1896.4704
45.4,x,1896.4704,1896.4704
45.5,x,1896.4704,1896.4704
45.6,x,1896.4704,1896.4704
45.7,x,1896.4704,1896.4704
45.8,x,1896.4704,1896.4704
45.9,x,1896.4704,1896.4704
46,x,1896.4704,1896.4704
46.1,x,1896.4704,1896.4704
46.2,x,1896.4704,1896.4704
46.3,x,1893.3344,1893.3344
46.4,x,1896.4704,1896.4704
46.5,x,1896.4704,1896.4704
46.6,x,1896.4704,1896.4704
46.7,x,1896.4704,1896.4704
46.8,x,1893.3344,1893.3344
46.9,x,1896.4704,1896.4704
47,x,1896.4704,1896.4704
47.1,x,1858.8224,1858.8224
47.2,x,1680,1680
47.3,x,1680,1680
47.4,x,1680,1680
47.5,x,1680,1680
47.6,x,1680,1680
47.7,x,1680,1680
47.8,x,1680,1680
47.9,x,1680,1680
48,x,1680,1680
48.1,x,1680,1680
48.2,x,1680,1680
48.3,x,1680,1680
48.4,x,1680,1680
48.5,x,1680,1680
48.6,x,1680,1680
48.7,x,1680,1680
48.8,x,1680,1680
48.9,x,1680,1680
49,x,1680,1680
49.1,x,1680,1680
49.2,x,1680,1680
