Time (s),Take sample,Powertrain 1 ESC throttle - target (?s)
51.1,x,941.18
51.2,x,980.4
51.3,x,960.78
51.4,x,901.96
51.5,x,862.74
51.6,x,823.52
51.7,x,784.32
51.8,x,784.32
51.9,x,784.32
52,x,784.32
52.1,x,784.32
52.2,x,803.92
52.3,x,803.92
52.4,x,823.52
52.5,x,823.52
52.6,x,823.52
52.7,x,803.92
52.8,x,803.92
52.9,x,803.92
53,x,784.32
53.1,x,784.32
53.2,x,803.92
53.3,x,843.14
53.4,x,843.14
53.5,x,843.14
53.6,x,843.14
53.7,x,823.52
53.8,x,823.52
53.9,x,823.52
54,x,823.52
54.1,x,823.52
54.2,x,823.52
54.3,x,823.52
54.4,x,823.52
54.5,x,843.14
54.6,x,843.14
54.7,x,843.14
54.8,x,843.14
54.9,x,843.14
55,x,823.52
55.1,x,823.52
55.2,x,823.52
55.3,x,862.74
55.4,x,882.36
55.5,x,882.36
55.6,x,882.36
55.7,x,882.36
55.8,x,882.36
55.9,x,882.36
56,x,882.36
56.1,x,882.36
56.2,x,882.36
56.3,x,901.96
56.4,x,901.96
56.5,x,921.56
56.6,x,921.56
56.7,x,941.18
56.8,x,960.78
56.9,x,980.4
57,x,980.4
57.1,x,980.4
57.2,x,960.78
57.3,x,960.78
57.4,x,960.78
57.5,x,960.78
57.6,x,960.78
57.7,x,980.4
57.8,x,1000
57.9,x,1019.6
58,x,1039.22
58.1,x,1039.22
58.2,x,1058.82
58.3,x,1058.82
58.4,x,1058.82
58.5,x,1058.82
58.6,x,1058.82
58.7,x,1078.44
58.8,x,1078.44
58.9,x,1078.44
59,x,1058.82
59.1,x,1039.22
59.2,x,1039.22
59.3,x,1039.22
59.4,x,1039.22
59.5,x,1039.22
59.6,x,1019.6
59.7,x,1019.6
59.8,x,1019.6
59.9,x,1019.6
60,x,1039.22
60.1,x,1058.82
60.2,x,1058.82
60.3,x,1058.82
60.4,x,1058.82
60.5,x,1058.82
60.6,x,1058.82
60.7,x,1058.82
60.8,x,1058.82
60.9,x,1078.44
61,x,1098.04
61.1,x,1117.64
61.2,x,1117.64
61.3,x,1117.64
61.4,x,1117.64
61.5,x,1156.86
61.6,x,1176.48
61.7,x,1196.08
61.8,x,1196.08
61.9,x,1196.08
62,x,1215.68
62.1,x,1215.68
62.2,x,1254.9
62.3,x,1254.9
62.4,x,1294.12
62.5,x,1294.12
62.6,x,1294.12
62.7,x,1313.72
62.8,x,1333.34
62.9,x,1333.34
63,x,1352.94
63.1,x,1352.94
63.2,x,1372.54
63.3,x,1372.54
63.4,x,1372.54
63.5,x,1372.54
63.6,x,1372.54
63.7,x,1352.94
63.8,x,1372.54
63.9,x,1372.54
64,x,1372.54
64.1,x,1372.54
64.2,x,1372.54
64.3,x,1392.16
64.4,x,1392.16
64.5,x,1392.16
64.6,x,1392.16
64.7,x,1411.76
64.8,x,1411.76
64.9,x,1431.38
65,x,1431.38
65.1,x,1431.38
65.2,x,1431.38
65.3,x,1411.76
65.4,x,1411.76
65.5,x,1411.76
65.6,x,1411.76
65.7,x,1411.76
65.8,x,1411.76
65.9,x,1411.76
66,x,1431.38
66.1,x,1431.38
66.2,x,1450.98
66.3,x,1450.98
66.4,x,1470.58
66.5,x,1470.58
66.6,x,1470.58
66.7,x,1470.58
66.8,x,1450.98
66.9,x,1431.38
67,x,1431.38
67.1,x,1411.76
67.2,x,1411.76
67.3,x,1411.76
67.4,x,1392.16
67.5,x,1392.16
67.6,x,1392.16
67.7,x,1392.16
67.8,x,1392.16
67.9,x,1392.16
68,x,1392.16
68.1,x,1392.16
68.2,x,1392.16
68.3,x,1392.16
68.4,x,1392.16
68.5,x,1372.54
68.6,x,1352.94
68.7,x,1333.34
68.8,x,1333.34
68.9,x,1333.34
69,x,1333.34
69.1,x,1313.72
69.2,x,1294.12
69.3,x,1294.12
69.4,x,1294.12
69.5,x,1294.12
69.6,x,1294.12
69.7,x,1294.12
69.8,x,1294.12
69.9,x,1313.72
70,x,1313.72
70.1,x,1313.72
70.2,x,1313.72
70.3,x,1294.12
70.4,x,1294.12
70.5,x,1294.12
70.6,x,1294.12
70.7,x,1294.12
70.8,x,1274.5
70.9,x,1274.5
71,x,1274.5
71.1,x,1274.5
71.2,x,1274.5
71.3,x,1274.5
71.4,x,1274.5
71.5,x,1294.12
71.6,x,1294.12
71.7,x,1294.12
71.8,x,1294.12
71.9,x,1274.5
