Time (s),Powertrain 1 - electrical power (W),Powertrain 1 - mechanical power (W),Powertrain 1 - motor & ESC efficiency (%),Powertrain 1 - propeller efficiency (N/W),Powertrain 1 - powertrain efficiency (N/W)
195.996395,-0.9533738493919373,0,0,0,0.21001610159873962
196.996395,-1.0554901361465454,0,0,0,0.18880105018615723
197.996395,-1.4803889989852905,0,0,0,0.13512307405471802
198.996395,-1.3028165102005005,0,0,0,0.15258459746837616
199.996395,-1.019152045249939,0,0,0,0.1950354129076004
200.996395,-1.2490612268447876,0,0,0,0.1605832278728485
201.996395,-1.3782439231872559,0,0,0,0.14581464231014252
202.996395,-1.4088716506958008,0,0,0,0.1421557515859604
203.996395,-1.4570354223251343,0,0,0,0.13818056881427765
204.996395,-1.0120575428009033,0,0,0,0.19851791858673096
205.996395,-0.8966414332389832,0,0,0,0.22340242564678192
206.996395,-0.9943816065788269,0,0,0,0.20228175818920135
207.996395,-0.963344156742096,0,0,0,0.21018093824386597
208.996395,-0.38617536425590515,0,0,0,0.5238735675811768
209.996395,-1.1875767707824707,0,0,0,0.16991634666919708
210.996395,-1.026057243347168,0,0,0,0.1974097043275833
211.996395,-1.2651138305664062,0,0,0,0.16015037894248962
212.996395,-1.2665599584579468,0,0,0,0.15984024107456207
213.996395,-1.1271687746047974,0,0,0,0.18078254163265228
214.996395,-0.9175176620483398,0,0,0,0.21957996487617493
215.996395,-1.092527151107788,0,0,0,0.18454493582248688
216.996395,-1.1297653913497925,0,0,0,0.1796485185623169
217.996395,-1.1150118112564087,0,0,0,0.1819251924753189
218.996395,-1.0666303634643555,0,0,0,0.18991541862487793
219.996395,-1.2588374614715576,0,0,0,0.1605633646249771
220.996395,-0.9220861792564392,0,0,0,0.21889613568782806
221.996395,-1.2758783102035522,0,0,0,0.1582719087600708
222.996395,-0.7950916290283203,0,0,0,0.25459036231040955
223.996395,-1.0073360204696655,0,0,0,0.20145955681800842
224.996395,-0.9589022994041443,0,0,0,0.21089065074920654
225.996395,-1.2183587551116943,0,0,0,0.16646644473075867
226.996395,-0.7726788520812988,0,0,0,0.26239508390426636
227.996395,-0.8956969380378723,0,0,0,0.22556978464126587
228.996395,-0.9120122194290161,0,0,0,0.22431468963623047
229.996395,-1.1555598974227905,0,0,0,0.17621521651744843
230.996395,-0.9450458884239197,0,0,0,0.21594926714897156
231.996395,-0.8339198231697083,0,0,0,0.2424599677324295
