Time (s),Powertrain 1 ESC throttle - target (μs)
480.45,1200.0
481.45,1200.0
482.45,1200.0
483.45,1200.0
484.45,1200.0
485.45,1200.0
486.45,1200.0
487.45,1200.0
488.45,1200.0
489.45,1200.0
490.45,1200.0
491.45,1200.0
492.45,1200.0
493.45,1200.0
494.45,1200.0
495.45,1200.0
496.45,1200.0
497.45,1200.0
498.45,1200.0
499.45,1200.0
500.45,1207.2549999999999
501.45,1241.7646
502.45,1277.451
503.45,1300.0
504.45,1305.4900000000002
505.45,1299.0196
506.45,1288.2350000000001
507.45,1276.4712
508.45,1276.274
509.45,1271.1766
510.45,1268.235
511.45,1279.6076
512.45,1290.9804
513.45,1299.4118
514.45,1302.941
515.45,1305.6860000000001
516.45,1301.9604
517.45,1300.0
518.45,1290.9802
519.45,1288.4320000000002
520.45,1295.8824
521.45,1303.333
522.45,1304.7060000000001
523.45,1311.5683999999999
524.45,1309.0198
525.45,1316.4707999999998
526.45,1300.1958
527.45,1267.2548000000002
528.45,1240.5882
529.45,1208.8236000000002
530.45,1200.0
531.45,1200.0
532.45,1200.0
533.45,1200.0
534.45,1200.0
535.45,1200.0
536.45,1200.0
537.45,1200.0
538.45,1200.0
539.45,1200.0
540.45,1260.0
541.45,1400.0
542.45,1400.0
543.45,1400.0
544.45,1400.0
545.45,1220.0
546.45,1200.0
547.45,1212.3528000000001
548.45,1269.0194
549.45,1318.4314
550.45,1351.5688
551.45,1362.3536
552.45,1359.6080000000002
553.45,1340.588
554.45,1330.5882000000001
555.45,1330.9804
556.45,1325.294
557.45,1328.6274
558.45,1328.8232
559.45,1335.49
560.45,1340.3921999999998
561.45,1337.0588
562.45,1335.0978
563.45,1337.6474
564.45,1340.7846
565.45,1339.216
566.45,1344.3136
567.45,1349.6078
568.45,1350.5888
569.45,1353.3334
570.45,1363.9216000000001
571.45,1368.0394000000001
572.45,1368.2356
573.45,1359.608
574.45,1348.4314
575.45,1343.138
576.45,1339.6078
577.45,1330.9802
578.45,1336.6666
579.45,1340.3924
580.45,1341.569
581.45,1346.4704
582.45,1351.9608
583.45,1355.294
584.45,1352.942
585.45,1353.726
586.45,1353.922
587.45,1350.9806
588.45,1349.608
589.45,1346.0788
590.45,1342.7451999999998
591.45,1340.7841999999998
592.45,1340.196
593.45,1343.1372
594.45,1344.9018
595.45,1341.7644
596.45,1329.6078
597.45,1301.7646
598.45,1287.0592000000001
599.45,1277.2546
600.45,1279.4112
601.45,1285.8822
602.45,1292.3526
603.45,1291.3726000000001
